Index,Season,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,day_of_week
289,2023/24,Aston Villa,Wolves,2,0,H,Saturday
290,2023/24,Brentford,Man United,1,1,D,Saturday
291,2023/24,Liverpool,Brighton,2,1,H,Sunday
292,2023/24,Man City,Arsenal,0,0,D,Sunday
293,2023/24,Newcastle,Everton,1,1,D,Tuesday
294,2023/24,Nott'm Forest,Fulham,3,1,H,Tuesday
295,2023/24,Bournemouth,Crystal Palace,1,0,H,Tuesday
296,2023/24,Burnley,Wolves,1,1,D,Tuesday
297,2023/24,West Ham,Tottenham,1,1,D,Tuesday
298,2023/24,Arsenal,Luton,2,0,H,Wednesday
299,2023/24,Brentford,Brighton,0,0,D,Wednesday
300,2023/24,Man City,Aston Villa,4,1,H,Wednesday
301,2023/24,Liverpool,Sheffield United,3,1,H,Thursday
302,2023/24,Chelsea,Man United,4,3,H,Thursday
303,2023/24,Crystal Palace,Man City,2,4,A,Saturday
304,2023/24,Aston Villa,Brentford,3,3,D,Saturday
305,2023/24,Everton,Burnley,1,0,H,Saturday
306,2023/24,Fulham,Newcastle,0,1,A,Saturday
307,2023/24,Luton,Bournemouth,2,1,H,Saturday
308,2023/24,Wolves,West Ham,1,2,A,Saturday
309,2023/24,Brighton,Arsenal,0,3,A,Saturday
310,2023/24,Man United,Liverpool,2,2,D,Sunday
311,2023/24,Sheffield United,Chelsea,2,2,D,Sunday
312,2023/24,Tottenham,Nott'm Forest,3,1,H,Sunday
313,2023/24,Newcastle,Tottenham,4,0,H,Saturday
314,2023/24,Brentford,Sheffield United,2,0,H,Saturday
315,2023/24,Burnley,Brighton,1,1,D,Saturday
316,2023/24,Man City,Luton,5,1,H,Saturday
317,2023/24,Nott'm Forest,Wolves,2,2,D,Saturday
318,2023/24,Bournemouth,Man United,2,2,D,Saturday
319,2023/24,Liverpool,Crystal Palace,0,1,A,Sunday
320,2023/24,West Ham,Fulham,0,2,A,Sunday
321,2023/24,Arsenal,Aston Villa,0,2,A,Sunday
322,2023/24,Chelsea,Everton,6,0,H,Monday
323,2023/24,Luton,Brentford,1,5,A,Saturday
324,2023/24,Sheffield United,Burnley,1,4,A,Saturday
325,2023/24,Wolves,Arsenal,0,2,A,Saturday
326,2023/24,Everton,Nott'm Forest,2,0,H,Sunday
327,2023/24,Aston Villa,Bournemouth,3,1,H,Sunday
328,2023/24,Crystal Palace,West Ham,5,2,H,Sunday
329,2023/24,Fulham,Liverpool,1,3,A,Sunday
330,2023/24,Arsenal,Chelsea,5,0,H,Tuesday
331,2023/24,Wolves,Bournemouth,0,1,A,Wednesday
332,2023/24,Crystal Palace,Newcastle,2,0,H,Wednesday
